tool	community	rank	metric	value
metabuli	marine0	genus	True positives	204
metabuli	marine0	genus	False negatives	8
metabuli	marine0	genus	False positives	2009
metabuli	marine0	genus	Completeness	0.962264150943396
metabuli	marine0	genus	Purity	0.0921825576140985
metabuli	marine0	genus	F1 score	0.168247422680412
metabuli	marine0	genus	Jaccard index	0.0918505177847816
metabuli	marine0	species	True positives	272
metabuli	marine0	species	False negatives	24
metabuli	marine0	species	False positives	6448
metabuli	marine0	species	Completeness	0.918918918918919
metabuli	marine0	species	Purity	0.0404761904761905
metabuli	marine0	species	F1 score	0.0775370581527936
metabuli	marine0	species	Jaccard index	0.0403321470937129
metabuli	marine0	kingdom	L1 norm error	0.122952997813141
metabuli	marine0	phylum	L1 norm error	0.171254075057552
metabuli	marine0	class	L1 norm error	0.217022681414492
metabuli	marine0	order	L1 norm error	0.368519753807321
metabuli	marine0	family	L1 norm error	0.381947734715258
metabuli	marine0	genus	L1 norm error	0.398690820152003
metabuli	marine0	species	L1 norm error	0.48082278982297
metabuli	marine0	na	Weighted UniFrac error	0.0204602249089587
metabuli	marine0	na	Unweighted UniFrac error	21.0074208930706
metabuli	marine0	na	Weighted UniFrac (CAMI)	2.14121085278277
metabuli	marine0	na	Unweighted UniFrac (CAMI)	50790
metabuli	marine0	phylum	Sum of abundances	0.998545095716941
metabuli	marine0	class	Sum of abundances	0.997991124775938
metabuli	marine0	order	Sum of abundances	0.996105989629338
metabuli	marine0	family	Sum of abundances	0.994218717782568
metabuli	marine0	genus	Sum of abundances	0.990443859868409
metabuli	marine0	species	Sum of abundances	0.959974075542526
metabuli	marine0	phylum	Taxon counts	57
metabuli	marine0	class	Taxon counts	121
metabuli	marine0	order	Taxon counts	296
metabuli	marine0	family	Taxon counts	633
metabuli	marine0	genus	Taxon counts	2213
metabuli	marine0	species	Taxon counts	6720
sylph	marine0	kingdom	Bray-Curtis distance	0.00644237527072685
sylph	marine0	phylum	Bray-Curtis distance	0.0118946556309679
sylph	marine0	class	Bray-Curtis distance	0.0182843159164617
sylph	marine0	order	Bray-Curtis distance	0.0333969950060009
sylph	marine0	family	Bray-Curtis distance	0.0370765117528317
sylph	marine0	genus	Bray-Curtis distance	0.0395333787434294
sylph	marine0	species	Bray-Curtis distance	0.0465985434175021
sylph	marine0	phylum	Shannon diversity	1.56176420177395
sylph	marine0	phylum	Shannon equitability	0.498091877777917
sylph	marine0	class	Shannon diversity	1.96664031491807
sylph	marine0	class	Shannon equitability	0.540644325264861
sylph	marine0	order	Shannon diversity	3.10914560105074
sylph	marine0	order	Shannon equitability	0.715765394418597
sylph	marine0	family	Shannon diversity	3.54689523998818
sylph	marine0	family	Shannon equitability	0.732196171758755
sylph	marine0	genus	Shannon diversity	3.85695938028962
sylph	marine0	genus	Shannon equitability	0.726594738652289
sylph	marine0	species	Shannon diversity	4.37656411324121
sylph	marine0	species	Shannon equitability	0.770962466523112
sylph	marine0	kingdom	True positives	2
sylph	marine0	kingdom	False negatives	0
sylph	marine0	kingdom	False positives	0
sylph	marine0	kingdom	Completeness	1
sylph	marine0	kingdom	Purity	1
sylph	marine0	kingdom	F1 score	1
sylph	marine0	kingdom	Jaccard index	1
sylph	marine0	phylum	True positives	23
sylph	marine0	phylum	False negatives	0
sylph	marine0	phylum	False positives	0
sylph	marine0	phylum	Completeness	1
sylph	marine0	phylum	Purity	1
sylph	marine0	phylum	F1 score	1
sylph	marine0	phylum	Jaccard index	1
sylph	marine0	class	True positives	38
sylph	marine0	class	False negatives	0
sylph	marine0	class	False positives	0
sylph	marine0	class	Completeness	1
sylph	marine0	class	Purity	1
sylph	marine0	class	F1 score	1
sylph	marine0	class	Jaccard index	1
sylph	marine0	order	True positives	77
sylph	marine0	order	False negatives	1
sylph	marine0	order	False positives	0
sylph	marine0	order	Completeness	0.987179487179487
sylph	marine0	order	Purity	1
sylph	marine0	order	F1 score	0.993548387096774
sylph	marine0	order	Jaccard index	0.987179487179487
sylph	marine0	family	True positives	127
sylph	marine0	family	False negatives	2
sylph	marine0	family	False positives	0
sylph	marine0	family	Completeness	0.984496124031008
sylph	marine0	family	Purity	1
sylph	marine0	family	F1 score	0.9921875
sylph	marine0	family	Jaccard index	0.984496124031008
sylph	marine0	genus	True positives	202
sylph	marine0	genus	False negatives	10
sylph	marine0	genus	False positives	0
sylph	marine0	genus	Completeness	0.952830188679245
sylph	marine0	genus	Purity	1
sylph	marine0	genus	F1 score	0.975845410628019
sylph	marine0	genus	Jaccard index	0.952830188679245
sylph	marine0	species	True positives	291
sylph	marine0	species	False negatives	5
sylph	marine0	species	False positives	1
sylph	marine0	species	Completeness	0.983108108108108
sylph	marine0	species	Purity	0.996575342465753
sylph	marine0	species	F1 score	0.989795918367347
sylph	marine0	species	Jaccard index	0.97979797979798
sylph	marine0	kingdom	L1 norm error	0.0128847505414537
sylph	marine0	phylum	L1 norm error	0.0237893112619357
sylph	marine0	class	L1 norm error	0.0365686318329233
sylph	marine0	order	L1 norm error	0.0667939900120017
sylph	marine0	family	L1 norm error	0.0741213673815864
sylph	marine0	genus	L1 norm error	0.0790330036766021
sylph	marine0	species	L1 norm error	0.0911579559290854
sylph	marine0	na	Weighted UniFrac error	0.00331402587278725
sylph	marine0	na	Unweighted UniFrac error	0.0565682881723468
sylph	marine0	na	Weighted UniFrac (CAMI)	0.384349010635588
sylph	marine0	na	Unweighted UniFrac (CAMI)	162
sylph	marine0	phylum	Sum of abundances	1
sylph	marine0	class	Sum of abundances	1
sylph	marine0	order	Sum of abundances	1
sylph	marine0	family	Sum of abundances	1
sylph	marine0	genus	Sum of abundances	1
sylph	marine0	species	Sum of abundances	1
sylph	marine0	phylum	Taxon counts	23
sylph	marine0	class	Taxon counts	38
sylph	marine0	order	Taxon counts	77
sylph	marine0	family	Taxon counts	127
sylph	marine0	genus	Taxon counts	202
sylph	marine0	species	Taxon counts	292
singlem	marine1	kingdom	Bray-Curtis distance	0.00556308051179372
singlem	marine1	phylum	Bray-Curtis distance	0.00982500181862283
singlem	marine1	class	Bray-Curtis distance	0.0103539857581688
singlem	marine1	order	Bray-Curtis distance	0.0192113656909343
singlem	marine1	family	Bray-Curtis distance	0.026352063949393
singlem	marine1	genus	Bray-Curtis distance	0.0409552054251108
singlem	marine1	species	Bray-Curtis distance	0.17199374322039
singlem	marine1	phylum	Shannon diversity	1.75912414172999
singlem	marine1	phylum	Shannon equitability	0.52241449238425
singlem	marine1	class	Shannon diversity	2.12356181373104
singlem	marine1	class	Shannon equitability	0.571838051231263
singlem	marine1	order	Shannon diversity	3.2415117701429
singlem	marine1	order	Shannon equitability	0.733566122394996
singlem	marine1	family	Shannon diversity	3.76487802071654
singlem	marine1	family	Shannon equitability	0.772251412840136
singlem	marine1	genus	Shannon diversity	4.02340709505348
singlem	marine1	genus	Shannon equitability	0.762281108845795
singlem	marine1	species	Shannon diversity	3.47775891350257
singlem	marine1	species	Shannon equitability	0.6469914020697
singlem	marine1	kingdom	True positives	2
singlem	marine1	kingdom	False negatives	0
singlem	marine1	kingdom	False positives	0
singlem	marine1	kingdom	Completeness	1
singlem	marine1	kingdom	Purity	1
singlem	marine1	kingdom	F1 score	1
singlem	marine1	kingdom	Jaccard index	1
singlem	marine1	phylum	True positives	29
singlem	marine1	phylum	False negatives	0
singlem	marine1	phylum	False positives	0
singlem	marine1	phylum	Completeness	1
singlem	marine1	phylum	Purity	1
singlem	marine1	phylum	F1 score	1
singlem	marine1	phylum	Jaccard index	1
singlem	marine1	class	True positives	41
singlem	marine1	class	False negatives	2
singlem	marine1	class	False positives	0
singlem	marine1	class	Completeness	0.953488372093023
singlem	marine1	class	Purity	1
singlem	marine1	class	F1 score	0.976190476190476
singlem	marine1	class	Jaccard index	0.953488372093023
singlem	marine1	order	True positives	83
singlem	marine1	order	False negatives	3
singlem	marine1	order	False positives	0
singlem	marine1	order	Completeness	0.965116279069768
singlem	marine1	order	Purity	1
singlem	marine1	order	F1 score	0.982248520710059
singlem	marine1	order	Jaccard index	0.965116279069768
