tool	community	skew	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives
SingleM nnls	sample5	high_skew	class	0.0120279499297644	1	1	0	0	1	0.0240558998595288	1	0.82153067106359	0.422183250065488	1	7	7
SingleM nnls	sample5	low_skew	class	0.0425310667796985	0.888888888888889	0.941176470588235	1	0	0.888888888888889	0.0850621335593969	1	0.824014237132742	0.396267084511103	1	8	8
sylph	sample0	high_skew	class	0.0291562615890397	0.941176470588235	0.96969696969697	1	0	0.941176470588235	0.0583125231780793	1	1.9682467373407	0.709894951801829	1	16	16
sylph	sample0	low_skew	class	0.554102567064607	0.428571428571429	0.6	12	0	0.428571428571429	1.10820513412921	1	1.2153167646401	0.553114495976318	1	9	9
sylph	sample4	high_skew	class	0.107259475218659	1	1	0	0	1	0.214518950437318	1	2.00925479352401	0.914451264676781	1	9	9
sylph	sample4	low_skew	class	0.36296461587504	0.428571428571429	0.6	8	0	0.428571428571429	0.72592923175008	1	1.69483316331845	0.945904398679493	1	6	6
sylph	sample5	high_skew	class	0.00974821876844269	0.857142857142857	0.923076923076923	1	0	0.857142857142857	0.0194964375368854	1	0.827845265151192	0.462029239621015	1	6	6
sylph	sample5	low_skew	class	0.969865418373318	0.444444444444444	0.615384615384615	5	0	0.444444444444444	1.93973083674664	1	0.675049808210379	0.48694550532908	1	4	4
SingleM	sample0	high_skew	order	0.0240935762598922	1	1	0	0	1	0.0473661469819665	1	2.48565884998837	0.738176559318923	0.965924297457465	29	29
SingleM	sample0	low_skew	order	0.0597462890160736	0.941176470588235	0.96969696969697	2	0	0.941176470588235	0.114853122795149	1	2.40241723485505	0.693191086174312	0.922347390718275	32	32
SingleM	sample4	high_skew	order	0.0728592997339852	1	1	0	0	1	0.141932773109244	1	2.6640032127431	0.904757487450891	0.948039215686275	19	19
SingleM	sample4	low_skew	order	0.112205188679245	0.952380952380952	0.952380952380952	1	1	0.909090909090909	0.207864554888039	0.952380952380952	2.61032855432003	0.857385224683032	0.852539595849263	21	20
SingleM	sample5	high_skew	order	0.00766893232191108	0.727272727272727	0.842105263157895	3	0	0.727272727272727	0.0153012678710239	1	0.881457980343486	0.423891685664516	0.995227918142694	8	8
SingleM	sample5	low_skew	order	0.0271408772986188	0.888888888888889	0.727272727272727	1	5	0.571428571428571	0.0533762797419516	0.615384615384615	0.925521552450108	0.360834240160622	0.966637966587319	13	8
SingleM dev	sample0	high_skew	order	0.281077921678408	0.413793103448276	0.585365853658537	17	0	0.413793103448276	0.438814715205072	1	1.23059120221321	0.495226330662442	0.561185284794929	12	12
SingleM dev	sample0	low_skew	order	0.532124706060836	0.176470588235294	0.3	28	0	0.176470588235294	0.694623230022775	1	0.689859412587614	0.385017868991549	0.305376769977226	6	6
SingleM dev	sample4	high_skew	order	0.61468952734013	0.526315789473684	0.689655172413793	9	0	0.526315789473684	0.761371789352848	1	0.757764993550307	0.329093155278351	0.238628210647152	10	10
SingleM dev	sample4	low_skew	order	0.853800396563119	0.380952380952381	0.551724137931035	13	0	0.380952380952381	0.921135196805476	1	0.325314971333094	0.156443431956397	0.0788648031945237	8	8
SingleM dev	sample5	high_skew	order	0.811249099957308	0.272727272727273	0.4	8	1	0.25	0.89709623094864	0.75	0.342566321402016	0.247109366531132	0.105820926021181	4	3
SingleM dev	sample5	low_skew	order	0.173447680106576	0.444444444444444	0.615384615384615	5	0	0.444444444444444	0.295620645124668	1	0.455651812764459	0.328683305323676	0.704379354875332	4	4
SingleM inject	sample0	high_skew	order	0.0289062853851961	1	1	0	0	1	0.0571136707128182	1	2.51178967114834	0.745936739142528	0.975821865443425	29	29
SingleM inject	sample0	low_skew	order	0.058445920317494	0.941176470588235	0.96969696969697	2	0	0.941176470588235	0.11251958048126	1	2.41502397447709	0.69682862232121	0.925191354161652	32	32
