tool	community	rank	metric	value	tool2
metaphlan42	marine5	order	Bray-Curtis distance	0.107278391951054	MetaPhlAn v4.2
metaphlan42	marine5	family	Bray-Curtis distance	0.120242776373504	MetaPhlAn v4.2
metaphlan42	marine5	genus	Bray-Curtis distance	0.13867756388555	MetaPhlAn v4.2
metaphlan42	marine5	species	Bray-Curtis distance	0.246584322803052	MetaPhlAn v4.2
singlem	marine6	kingdom	Bray-Curtis distance	0.00363736692627533	SingleM
singlem	marine6	phylum	Bray-Curtis distance	0.0102602441225279	SingleM
singlem	marine6	class	Bray-Curtis distance	0.0121659942504114	SingleM
singlem	marine6	order	Bray-Curtis distance	0.0216990065257288	SingleM
singlem	marine6	family	Bray-Curtis distance	0.0305301701582445	SingleM
singlem	marine6	genus	Bray-Curtis distance	0.0440809597615136	SingleM
singlem	marine6	species	Bray-Curtis distance	0.123204915499147	SingleM
metaphlan	marine6	kingdom	Bray-Curtis distance	0.00241584930535398	MetaPhlAn
metaphlan	marine6	phylum	Bray-Curtis distance	0.0662381501764622	MetaPhlAn
metaphlan	marine6	class	Bray-Curtis distance	0.0954739367638747	MetaPhlAn
metaphlan	marine6	order	Bray-Curtis distance	0.113042100368767	MetaPhlAn
metaphlan	marine6	family	Bray-Curtis distance	0.125988060487583	MetaPhlAn
metaphlan	marine6	genus	Bray-Curtis distance	0.151498879950616	MetaPhlAn
metaphlan	marine6	species	Bray-Curtis distance	0.238359639996377	MetaPhlAn
kraken	marine6	kingdom	Bray-Curtis distance	0.00745946497089745	Kraken2
kraken	marine6	phylum	Bray-Curtis distance	0.176580261315798	Kraken2
kraken	marine6	class	Bray-Curtis distance	0.195694771020349	Kraken2
kraken	marine6	order	Bray-Curtis distance	0.215510321059708	Kraken2
kraken	marine6	family	Bray-Curtis distance	0.229452649769195	Kraken2
kraken	marine6	genus	Bray-Curtis distance	0.251474150200815	Kraken2
kraken	marine6	species	Bray-Curtis distance	0.293130675416363	Kraken2
sourmash	marine6	kingdom	Bray-Curtis distance	0.00678393182968705	sourmash
sourmash	marine6	phylum	Bray-Curtis distance	0.195348635524366	sourmash
sourmash	marine6	class	Bray-Curtis distance	0.218580664542773	sourmash
sourmash	marine6	order	Bray-Curtis distance	0.242692560154838	sourmash
sourmash	marine6	family	Bray-Curtis distance	0.257803426541467	sourmash
sourmash	marine6	genus	Bray-Curtis distance	0.297520189895872	sourmash
sourmash	marine6	species	Bray-Curtis distance	0.348379314794271	sourmash
metabuli	marine6	kingdom	Bray-Curtis distance	0.00867248988050569	Metabuli
metabuli	marine6	phylum	Bray-Curtis distance	0.229352313818253	Metabuli
metabuli	marine6	class	Bray-Curtis distance	0.258192370440228	Metabuli
metabuli	marine6	order	Bray-Curtis distance	0.28383478678851	Metabuli
metabuli	marine6	family	Bray-Curtis distance	0.303611195320559	Metabuli
metabuli	marine6	genus	Bray-Curtis distance	0.389022378945133	Metabuli
metabuli	marine6	species	Bray-Curtis distance	0.546482581114497	Metabuli
sylph	marine6	kingdom	Bray-Curtis distance	8.35970813507625e-05	sylph
sylph	marine6	phylum	Bray-Curtis distance	0.00467912266395291	sylph
sylph	marine6	class	Bray-Curtis distance	0.00497048337708491	sylph
sylph	marine6	order	Bray-Curtis distance	0.0076224917707207	sylph
sylph	marine6	family	Bray-Curtis distance	0.00937002539837989	sylph
sylph	marine6	genus	Bray-Curtis distance	0.0127203466475592	sylph
sylph	marine6	species	Bray-Curtis distance	0.0183721024435873	sylph
metaphlan42	marine6	kingdom	Bray-Curtis distance	0.00241584930535398	MetaPhlAn v4.2
metaphlan42	marine6	phylum	Bray-Curtis distance	0.0662381501764622	MetaPhlAn v4.2
metaphlan42	marine6	class	Bray-Curtis distance	0.0954739367638747	MetaPhlAn v4.2
metaphlan42	marine6	order	Bray-Curtis distance	0.113042100368767	MetaPhlAn v4.2
metaphlan42	marine6	family	Bray-Curtis distance	0.125988060487583	MetaPhlAn v4.2
