tool,community,rank,metric,value
metaphlan,marine5,order,Bray-Curtis distance,0.107278260569919
metaphlan,marine5,family,Bray-Curtis distance,0.120244046491791
metaphlan,marine5,genus,Bray-Curtis distance,0.13867881847317
metaphlan,marine5,species,Bray-Curtis distance,0.246584242999944
metaphlan,marine5,phylum,Shannon diversity,1.93062571335902
metaphlan,marine5,phylum,Shannon equitability,0.567631188877233
metaphlan,marine5,class,Shannon diversity,2.24304274402566
metaphlan,marine5,class,Shannon equitability,0.589241297344697
metaphlan,marine5,order,Shannon diversity,3.2540764519254
metaphlan,marine5,order,Shannon equitability,0.719643653496299
metaphlan,marine5,family,Shannon diversity,3.93209059103036
metaphlan,marine5,family,Shannon equitability,0.78370964325692
metaphlan,marine5,genus,Shannon diversity,4.65844716462715
metaphlan,marine5,genus,Shannon equitability,0.822616929955216
metaphlan,marine5,species,Shannon diversity,5.06365010943841
metaphlan,marine5,species,Shannon equitability,0.836353264081923
metaphlan,marine5,kingdom,True positives,2
metaphlan,marine5,kingdom,False negatives,0
metaphlan,marine5,kingdom,False positives,0
metaphlan,marine5,kingdom,Completeness,1
metaphlan,marine5,kingdom,Purity,1
metaphlan,marine5,kingdom,F1 score,1
metaphlan,marine5,kingdom,Jaccard index,1
metaphlan,marine5,phylum,True positives,30
metaphlan,marine5,phylum,False negatives,5
metaphlan,marine5,phylum,False positives,0
metaphlan,marine5,phylum,Completeness,0.857142857142857
metaphlan,marine5,phylum,Purity,1
metaphlan,marine5,phylum,F1 score,0.923076923076923
metaphlan,marine5,phylum,Jaccard index,0.857142857142857
metaphlan,marine5,class,True positives,45
metaphlan,marine5,class,False negatives,8
metaphlan,marine5,class,False positives,0
metaphlan,marine5,class,Completeness,0.849056603773585
metaphlan,marine5,class,Purity,1
metaphlan,marine5,class,F1 score,0.918367346938776
metaphlan,marine5,class,Jaccard index,0.849056603773585
metaphlan,marine5,order,True positives,92
metaphlan,marine5,order,False negatives,13
metaphlan,marine5,order,False positives,0
metaphlan,marine5,order,Completeness,0.876190476190476
metaphlan,marine5,order,Purity,1
metaphlan,marine5,order,F1 score,0.934010152284264
metaphlan,marine5,order,Jaccard index,0.876190476190476
metaphlan,marine5,family,True positives,151
metaphlan,marine5,family,False negatives,24
metaphlan,marine5,family,False positives,0
metaphlan,marine5,family,Completeness,0.862857142857143
metaphlan,marine5,family,Purity,1
metaphlan,marine5,family,F1 score,0.92638036809816
metaphlan,marine5,family,Jaccard index,0.862857142857143
metaphlan,marine5,genus,True positives,288
metaphlan,marine5,genus,False negatives,41
metaphlan,marine5,genus,False positives,0
metaphlan,marine5,genus,Completeness,0.875379939209726
metaphlan,marine5,genus,Purity,1
metaphlan,marine5,genus,F1 score,0.93354943273906
metaphlan,marine5,genus,Jaccard index,0.875379939209726
metaphlan,marine5,species,True positives,383
metaphlan,marine5,species,False negatives,107
metaphlan,marine5,species,False positives,43
metaphlan,marine5,species,Completeness,0.781632653061225
metaphlan,marine5,species,Purity,0.89906103286385
metaphlan,marine5,species,F1 score,0.836244541484716
metaphlan,marine5,species,Jaccard index,0.718574108818011
metaphlan,marine5,kingdom,L1 norm error,0.00315306336655522
metaphlan,marine5,phylum,L1 norm error,0.140861372473555
metaphlan,marine5,class,L1 norm error,0.157247329966125
metaphlan,marine5,order,L1 norm error,0.214556521139839
metaphlan,marine5,family,L1 norm error,0.240488092983582
metaphlan,marine5,genus,L1 norm error,0.277357636946339
metaphlan,marine5,species,L1 norm error,0.493168485999888
metaphlan,marine5,na,Weighted UniFrac error,0.0120545316087665
metaphlan,marine5,na,Unweighted UniFrac error,0.167175737000614
metaphlan,marine5,na,Weighted UniFrac (CAMI),1.52683250287588
metaphlan,marine5,na,Unweighted UniFrac (CAMI),715
