tool,community,rank,metric,value,tool2
singlem_dev,marine0,order,F1 score,1,SingleM dev
singlem_dev,marine0,order,Jaccard index,1,SingleM dev
singlem_dev,marine0,family,True positives,9,SingleM dev
singlem_dev,marine0,family,False negatives,0,SingleM dev
singlem_dev,marine0,family,False positives,0,SingleM dev
singlem_dev,marine0,family,Completeness,1,SingleM dev
singlem_dev,marine0,family,Purity,1,SingleM dev
singlem_dev,marine0,family,F1 score,1,SingleM dev
singlem_dev,marine0,family,Jaccard index,1,SingleM dev
singlem_dev,marine0,genus,True positives,9,SingleM dev
singlem_dev,marine0,genus,False negatives,0,SingleM dev
singlem_dev,marine0,genus,False positives,0,SingleM dev
singlem_dev,marine0,genus,Completeness,1,SingleM dev
singlem_dev,marine0,genus,Purity,1,SingleM dev
singlem_dev,marine0,genus,F1 score,1,SingleM dev
singlem_dev,marine0,genus,Jaccard index,1,SingleM dev
singlem_dev,marine0,species,True positives,9,SingleM dev
singlem_dev,marine0,species,False negatives,0,SingleM dev
singlem_dev,marine0,species,False positives,0,SingleM dev
singlem_dev,marine0,species,Completeness,1,SingleM dev
singlem_dev,marine0,species,Purity,1,SingleM dev
singlem_dev,marine0,species,F1 score,1,SingleM dev
singlem_dev,marine0,species,Jaccard index,1,SingleM dev
singlem_dev,marine0,kingdom,L1 norm error,0,SingleM dev
singlem_dev,marine0,phylum,L1 norm error,0.0974344146555591,SingleM dev
singlem_dev,marine0,class,L1 norm error,0.117530872696227,SingleM dev
singlem_dev,marine0,order,L1 norm error,0.143769645441285,SingleM dev
singlem_dev,marine0,family,L1 norm error,0.145605661255318,SingleM dev
singlem_dev,marine0,genus,L1 norm error,0.160409387136888,SingleM dev
singlem_dev,marine0,species,L1 norm error,0.106763522637677,SingleM dev
singlem_dev,marine0,,Weighted UniFrac error,0.00682305883581363,SingleM dev
singlem_dev,marine0,,Unweighted UniFrac error,0.469252077562327,SingleM dev
singlem_dev,marine0,,Weighted UniFrac (CAMI),0.771513503822954,SingleM dev
singlem_dev,marine0,,Unweighted UniFrac (CAMI),25,SingleM dev
singlem_dev,marine0,phylum,Sum of abundances,0.98020625415835,SingleM dev
singlem_dev,marine0,class,Sum of abundances,0.98020625415835,SingleM dev
singlem_dev,marine0,order,Sum of abundances,0.959248170326015,SingleM dev
singlem_dev,marine0,family,Sum of abundances,0.959081836327345,SingleM dev
singlem_dev,marine0,genus,Sum of abundances,0.944278110445775,SingleM dev
singlem_dev,marine0,species,Sum of abundances,0.774950099800399,SingleM dev
singlem_dev,marine0,phylum,Taxon counts,6,SingleM dev
singlem_dev,marine0,class,Taxon counts,7,SingleM dev
singlem_dev,marine0,order,Taxon counts,8,SingleM dev
singlem_dev,marine0,family,Taxon counts,9,SingleM dev
singlem_dev,marine0,genus,Taxon counts,9,SingleM dev
singlem_dev,marine0,species,Taxon counts,9,SingleM dev
